Code;Désignation;Désignation 2;Image;Groupe;Section 1;Section 2;Dep.Bal.;Blacklist;Type;Catégorie;Btn.font;Btn.palette;Btn.couleur
1;BOULANGERIE;;1H;0;0;0;;0;;;1016016;10;-3346930
2;VIENNOISERIE;;1H;0;0;0;;0;;;1016016;10;-3346930
3;PÂTISSERIE;;1H;0;0;0;;0;;;1016016;10;-3346930
4;BOISSONS 5,5%;;;0;0;0;;0;;;1016016;10;-3346930
5;SALÉ;;;0;0;0;;0;;;1016016;10;-3346930
6;CAVE;;;0;0;0;;0;;;1016016;10;-3346930
7;REVENTE  EPICERIE;;;0;0;0;;0;;;1016016;10;-3346930
9;CHOCOLAT;;;0;0;0;;0;;;1016016;10;-3346930
10;ROIS;;;0;0;0;;0;;;1016016;10;-3346930
11;ENTREMET et TARTERIE;;;0;0;0;;0;;;1016016;10;-3346930
12;CONFISERIE;;;0;0;0;;0;;;1016016;10;-3346930
